번호,제목,저자,출판사,출판일
51,Path Planning for Autonomous Vehicles Using Model Predictive Control,"Liu, Chang; Lee, Seungho; Varnhagen, Scott; Tseng, Eric","Institute of electrical and Electronics Engineers, Inc",2017
52,HUMAN-LIKE PLANNING OF SWERVE MANEUVERS FOR AUTONOMOUS VEHICLES,"Gu,  Tianyu; Dolan,  John M.; Lee,  Jin-Woo","Institute of electrical and Electronics Engineers, Inc.",2016
53,Sensing Architecture for Automated/Autonomous Vehicles towards All-Condition Safety,"Meng, Joshua Huadong; Zhang, Wei-Bin","Institute of electrical and Electronics Engineers, Inc",2017
54,VISIBLE LIGHT INTER-VEHICLE COMMUNICATION FOR PLATOONING OF AUTONOMOUS VEHICLES,"Abualhoul,  Mohammad Y.; Shagdar,  Oyunchimeg; Nashashibi,  Fawzi","Institute of electrical and Electronics Engineers, Inc.",2016
55,An Efficient Vision-Based Traffic Light Detection and State Recognition for Autonomous Vehicles,"Saini, Sanjay; Satya Kumar, Nikhil; Konda, Krishna Reddy; Bharadwaj, Harish; Narayanan, Ganeshan","Institute of electrical and Electronics Engineers, Inc",2017
56,Toward Fully Autonomous and Networked Vehicles,"Stewart, Christopher; Vasisht, Deepak; Shi, Weisong",IEEE COMPUTER SOCIETY,2021
57,"A. Meystel, Autonomous Mobile Robots: Vehicles with Cognitive Control","Tzafestas, S.",KLUWER ACADEMIC PUBLISHERS GROUP,1994
58,Greedy Algorithms for Information Dissemination within Groups of Autonomous Vehicles,"Llatser,  Ignacio; Kühlmorgen,  Sebastian; Festag,  Andreas; Fettweis,  Gerhard","Institute of electrical and Electronics Engineers, Inc.",2015
59,Model Predictive Control Based Trajectory Generation for Autonomous Vehicles - an Architectural Approach,"Nolte, Marcus; Rose, Marcel; Stolte, Torben; Maurer, Markus","Institute of electrical and Electronics Engineers, Inc",2017
60,GPS in autonomous underwater vehicles,"Meldrum, D. T.",INSTITUTION OF ELECTRICAL ENGINEERS,1994
61,A Practical Trajecotry Planning Framework for Autonomous Ground Vehicles Driving in Urban Environments,"Li,  Xiaohui; Sun,  Zhenping; Zhu,  Qi; Liu,  Daxue; He,  Zhen","Institute of electrical and Electronics Engineers, Inc.",2015
62,A HIERARCHICAL MODEL PREDICTIVE CONTROL FRAMEWORK FOR ON-ROAD FORMATION CONTROL OF AUTONOMOUS VEHICLES,"Qian,  Xiangjun; De La Fortelle,  Arnaud; Moutarde,  Fabien","Institute of electrical and Electronics Engineers, Inc.",2016
63,Experiments in Autonomous Driving With Concurrent Goals And Multiple Vehicles,"Brumitt, B.",INSTITUTE OF ELECTRICAL ENGINEERS INC (IEEE),1998
64,DYNAMIC CARBON EMISSIONS MINIMIZATION FOR AUTONOMOUS VEHICLES IN THE CONTEXT OF ON-DEMAND TRANSPORTATION SYSTEMS,"Fatnassi,  Ezzeddine; Chaouachi,  Jouhaina","Institute of electrical and Electronics Engineers, Inc.",2016
65,Insurance for autonomous underwater vehicles,"Griffiths, G.; Bose, N.; Ferguson, J.; Blidberg, D.R.",SOCIETY FOR UNDERWATER TECHNOLOGY,2007
66,Development of Autonomous Master-and-Slave Vehicles with Cruise Technology,"Chen, H.-M.; Lee, T.-E.; Su, J.-P.; Liao, C.-Q.",Springer Science + Business Media,2014
67,XDvision: Dense Outdoor Perception for Autonomous Vehicles,"Cano, Romero; Vignard, Nicolas; Laugier, Christian","Institute of electrical and Electronics Engineers, Inc",2017
68,COOPERATION OF AUTONOMOUS VEHICLES USING A HIERARCHY OF AUCTION-BASED AND MODEL-PREDICTIVE CONTROL,"Rewald,  Hannes; Stursberg,  Olaf","Institute of electrical and Electronics Engineers, Inc.",2016
69,"Connected and Autonomous Vehicles, Electric Scooter and Their Implications for Road Network Design","Carrignon, David","Elsevier Science B.V., Amsterdam",2020
70,Prolog to: Autonomous Vehicles,"Esch, J.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,1996
71,Multiple Communicating Autonomous Underwater Vehicles,"An, E.; Beaujean, P.-P.; Baud, B.; Carlson, T.; Tarn, T. J.","Piscataway, N.J.; IEEE",2004
72,Integrity for autonomous vehicles and towards a novel alert limit determination method,Qian Meng ; Li-Ta Hsu,Sage Publications Ltd.,2021
73,Challenges for Autonomous Vehicles (AVs) Engineering: Safety Validation of Functional Performance Limitations,"Koné, Tchoya Florence; Bonjour, Eric; Levrat, Eric; Mayer, Frédérique; Géronimi, Stéphane",John Wiley & Sons Ltd,2019
74,Connected & autonomous vehicles – Environmental impacts – A review,"Kopelias, Pantelis; Demiridi, Elissavet; Vogiatzis, Konstantinos; Skabardonis, Alexandros; Zafiropoulou, Vassiliki","Elsevier Science B.V., Amsterdam.",2020
75,Navigation of Autonomous Underwater Vehicles based on Artifical Underwater Landmarks,"Yu, S.-C.; Ura, T.; Fujii, T.; Kondo, H.",IEEE; 1998,2001
76,Interaction of Autonomous Underwater Vehicles with Ocean Structures of Variable Size,"Alvarez, A.; Caiti, A.",Published for the International Federation of Automatic Control by Pergamon,2002
77,Acceptance of autonomous delivery vehicles for last-mile delivery in Germany – Extending UTAUT2 with risk perceptions,"Kapser, Sebastian; Abdelrahman, Mahmoud","Elsevier Science B.V., Amsterdam",2020
78,Effect of Autonomous Vehicles on Performance of Signalized Intersections,"Berktaş, Ecem Şentürk; Tanyel, Serhan",ASCE American Society of Civil Engineers,2020
79,Development of Autonomous Unmanned Vehicles for Large Area Radiation Surveys and Sampling,"Verdoorn, M. A.; Anderson, M. O.; McKay, M. D.; McBride, D. W.; Oertel, C. P.","La Grange Park, Ill.:; American Nuclear Society,",2004
80,"APPLICATION OF AUTONOMOUS UNDERWATER VEHICLES Dr. Stephen Wood, Arial Nulph (Florida Institute of Technology) and Dr. Brian Howell (Western Carolina University) discuss characterization of the physical environment for the development of environmental-base",unknown,COMPASS PUBLICATIONS INC,2004
81,Formations of Autonomous Vehicles Using Global Positioning Systems (GPS),"Rahnamai, K.; Gorman, K.; Gray, A.; Arabshahi, P.","Institute of Electrical and Electronics Engineers,",2005
82,A Formation Autonomous Navigation System for Unmanned Surface Vehicles With Distributed Control Strategy,"Sun, Xiaojie; Wang, Guofeng; Fan, Yunsheng; Mu, Dongdong; Qiu, Bingbing",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC,2021
83,Infotainment for Autonomous Driving Vehicles,"Ishiguro, Yoshio",SOCIETY OF AUTOMOTIVE ENGINEERS OF JAPAN,2019
84,Development of autonomous underwater vehicles in Japan,"Ura, T.",VSP,2002
85,Vision Only Autonomous Indoor Exploration Method for Unmanned Aerial Vehicles (UAVs) (AIAA 2013-5213),"Chen, M.; Cai, Z.; Wang, Y.","Red Hook, NY; Curran Associates, Inc.",2013
86,Fuel and Comfort Efficient Cooperative Control for Autonomous Vehicles,"Mohseni, Fatemeh; Åslund, Jan; Frisk, Erik; Nielsen, Lars","Institute of electrical and Electronics Engineers, Inc",2017
87,Applications of Autonomous Underwater Vehicles in Offshore Petroleum Industry Environmental Effects Monitoring,"Niu, H.",New York; Curran Associates,2007
88,Optimization of autonomous driving state control of low energy consumption pure electric agricultural vehicles based on environmental friendliness,Xuesheng Zhou ; Jun Zhou,Springer Nature,2021
89,Flocking of Autonomous Air Vehicles,"Crowther, W.;Riviere, X.",University of Bristol,2002
90,Driving Speed Profiles for Autonomous Vehicles,"Anastassov, Anton; Jang, Dongwook; Giurgiu, Gavril","Institute of electrical and Electronics Engineers, Inc",2017
91,Flocking of autonomous unmanned air vehicles,"Crowther, B.",ROYAL AERONAUTICAL SOCIETY,2003
92,Decision Making for Autonomous Driving Considering Interaction and Uncertain Prediction of Surrounding Vehicles,"Hubmann, Constantin; Becker, Marvin; Althoff, Daniel; Lenz, David; Stiller, Christoph","Institute of electrical and Electronics Engineers, Inc",2017
93,3D-LIDAR Based Branch Estimation and Intersection Location for Autonomous Vehicles,"Wang, Liang; Wang, Jun; Wang, Xiaonian; Zhang, Yihuan","Institute of electrical and Electronics Engineers, Inc",2017
94,Improvement of Autonomous Vehicles Trust Through Synesthetic-Based Multimodal Interaction,"Sun, Xiaofeng; Zhang, Yimin",IEEE,2021
95,Dispatch of autonomous vehicles for taxi services: A deep reinforcement learning approach,"Mao, Chao; Liu, Yulin; Shen, Zuo-Jun (Max)","Elsevier Science B.V., Amsterdam",2020
96,Engineering road safety Autonomous emergency braking systems in vehicles are taken through their paces,unknown,INSTITUTE OF MATERIALS,2011
97,Maritime Remotely Operated Vehicles (ROV) and Autonomous Underwater Vehicles (AUV),"White,  Andrew",WEHR & WISSEN,2015
98,UWB-Based Safety System for Autonomous Guided Vehicles Without Hardware on the Infrastructure,"Zamora-Cadenas, Leticia; Velez, Igone; Sierra-Garcia, J. Enrique",IEEE,2021
99,Forecasting the effects of autonomous vehicles on land use,"Bridgelall, Raj; Stubbing, Edward","Elsevier Science B.V., Amsterdam.",2021
100,Guidance-Based Path Following for Autonomous Underwater Vehicles,"Breivik, M.; Fossen, T. I.","IEEE,",2005
1,"Shared Perception for Autonomous Systems Providing a continually updated, three-dimensional model of an environment to autonomous vehicles could improve their ability to locate objects of interest","Viggh,  Herbert E. M.; Shah,  Danelle C.; Cho,  Peter L.; Armstrong-Crews,  Nicholas L.; Nam,  Myra; Brown,  Geoffrey",LINCOLN LABORATORY M I.T,2017
2,"Aluminum-Water Energy System for Autonomous Undersea Vehicles The advantages of aluminum-fueled energy systems—safety, reliability, and low cost—are leading to their eventual use in unmanned undersea systems","Pulsone,  Nicholas B.; Hart,  Douglas P.; Siegel,  Andrew M.; Edwards,  Joseph R.; Railey,  Kristen E.",LINCOLN LABORATORY M I.T,2017
3,"Automation of Armored Four-Wheel-Counter-Steer Vehicles A novel localizing ground-penetrating radar system enables the autonomous steering of a rugged, four-wheeled mine-detection vehicle","Stanley,  Byron M.; Froehlich,  Edward M.; Koechling,  Jeffrey C.; Cornick,  Matthew T.",LINCOLN LABORATORY M I.T,2017
4,Route Assignment for Autonomous Vehicles,"Moran,  Nick; Pollack,  Jordan",Springer,2016
5,Structured Lighting for Autonomous Guidance of Underground Mining Vehicles,"Polotski, V.;Cohen, P.",Association Internationale pour l'Automatisation Industrielle,1999
6,Smoke Detection for Autonomous Vehicles using Laser Range Finder and Camera,"Filonenko,  Alexander; Hernández,  Danilo Cáceres; Hoang,  Van-Dung; Jo,  Kang-Hyun",Springer,2015
7,The Social Acceptance of Autonomous Vehicles,"Kurniawan, Jude H.; Chng, Samuel; Cheah, Lynette",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
8,Consensus based platoon for autonomous vehicles with time varying inter-vehicle distance,"Yan,  Mao-de; Song,  Jia-cheng; Yang,  Pan-pan; Zhu,  Xu",unknown,2017
9,Fleet management for autonomous vehicles using flows in time-expanded networks,"Bsaybes, Sahar; Quilliot, Alain; Wagler, Annegret K.",Elsevier Science B.V. Amsterdam,2017
10,Evolutionary Path Planning for Autonomous Air Vehicles Using Multiresolution Path Representation,"Vaidyanathan, R.;Hocaoglu, C.;Prince, T. S.;Quinn, R. D.",IEEE,2001
11,Obstacle Avoidance for Low-Speed Autonomous Vehicles With Barrier Function,"Chen, Y.; Peng, H.; Grizzle, J.",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,2018
12,Motion Planning of Autonomous Off-Road Vehicles Under Physical Interaction Constraints,"Cherif, M.",INSTITUTE OF ELECTRICAL ENGINEERS INC (IEEE),1995
13,Vibration-Based Terrain Classification for Autonomous Vehicles,"Zhao,  Kai; Dong,  Mingming; Wang,  Zhiguo; Han,  Yanxi; Gu,  Liang",unknown,2017
14,Fuel Cells for Autonomous Underwater Vehicles,"Grzeczka, G.; Polak, A.",Scitec Publications Ltd,2013
15,Virtual environment testbed for autonomous underwater vehicles,"Gracanin, D.","PERGAMON PRESS INC, JOURNALS DIV",1998
16,The Safety of Autonomous Ground Vehicles as a Function of Sensing Capability,"Ariyur, K.B.; Mishra, M.","Manassas, Va; Institute of Navigation",2011
17,Liability rules for autonomous vehicles,"Epstein, Richard A.",Emerald Group Publishing Limited,2021
18,Kinematic Models of Autonomous Guided Vehicles and Their Applications,"Wang, T.;Mehdi, Q. H.;Gough, N. E.",ISCA,1996
19,Dead reckoning method for autonomous underwater vehicles based on EKF,"Xinqian, B.; Jiajia, Z.; Zheping, Y.; Dawei, Z.",EDITORIAL BOARD OF JOURNAL OF HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,2011
20,Rendezvous planning for multiple autonomous underwater vehicles using a Markov decision process,"Yordanova, V.; Griffiths, H.; Hailes, S.",INSTITUTION OF ENGINEERING AND TECHNOLOGY,2017
21,Perceptions and expectations of autonomous vehicles – A snapshot of vulnerable road user opinion,"Penmetsa, Praveena; Adanu, Emmanuel Kofi; Wood, Dustin; Wang, Teng; Jones, Steven L.","Elsevier Science B.V., Amsterdam.",2019
22,Navigation Requirements for Autonomous Underwater Vehicles,"Stambaugh, J. S.",INSTITUTE OF NAVIGATION,1992
23,Terrain-aided localization of autonomous ground vehicles,"Madhavan, R.; Durrant-Whyte, H. F.","Elsevier Science B.V., Amsterdam.",2004
24,Improving Brake Performance in Autonomous Vehicles AKA More Friction!,"Nunneley,  Christopher",Society of Automotive Engineers,2015
25,Real-Time Decision Making for Autonomous City Vehicles,"Furda, A.; Vlacic, L.",FUJI TECHNOLOGY PRESS LTD.,2010
26,Adaptive navigation of autonomous vehicles using evolutionary algorithms,"Nearchou, A. C.",00,1999
27,Lateral control of platoons of vehicles on highways: the autonomous following based approach,"Papadimitriou, I.; Tomizuka, M.",INDERSCIENCE ENTERPRISES LTD,2004
28,Two-echelon urban deliveries using autonomous vehicles,"Yu, Shaohua; Puchinger, Jakob; Sun, Shudong","Elsevier Science B.V., Amsterdam.",2020
29,The Model of Autonomous Unmanned Underwater Vehicles Interaction for Collaborative Missions,"Kozhemyakin, Igor; Putintsev, Ivan; Ryzhov, Vladimir; Semenov, Nikolay; Chemodanov, Mikhail",Springer,2018
30,Young Consumers' Attitudes Toward Autonomous Vehicles — An Empirical Approach,"Dewalska-Opitek, Anna",Springer,2018
31,Formation-Tracking Control of Autonomous Vehicles Under Relaxed Persistency of Excitation Conditions,"Maghenem, M.; Loria, A.; Panteley, E.",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,2018
32,Gain-scheduling LPV control for autonomous vehicles including friction force estimation and compensation mechanism,"Alcala, E.; Puig, V.; Quevedo, J.; Escobet, T.",IET,2018
33,Trajectory planning for autonomous vehicles based on improved Hybrid A*,"Wang, Chao; Xu, Nan; Huang, Yanjun; Guo, Konghui; Liu, Yang; Li, Qin",INDERSCIENCE ENTERPRISES LTD,2021
34,Coordinated torque vectoring control and path-following of autonomous vehicles with sideslip angle estimation,"Zhang, Lin; Pan, Wei; Li, Qin; Sun, Haobo; Li, Bin; Wang, Nian",INDERSCIENCE ENTERPRISES LTD,2021
35,The development of driverless autonomous vehicles,"Stewart, A.",EE Publishers (Pty) Ltd.,2006
36,Smooth local-path planning for autonomous vehicles,"Kanayama, Yutaka J.; Hartman, Bruce I.",Sage Publications Ltd.,1997
37,Fast zonotope‐tube‐based LPV‐MPC for autonomous vehicles,"Alcalá, Eugenio; Puig, Vicenç; Quevedo, Joseba; Sename, Olivier",IET,2020
38,Reactive model for autonomous vehicles formation following a mobile reference,"Freitas, Vander L.S.; de Sousa, Fabiano Luis; Macau, Elbert E.N.","Elsevier Science B.V., Amsterdam.",2018
39,Trajectory planning for autonomous underwater vehicles in the presence of obstacles and a nonlinear flow field using mixed integer nonlinear programming,"Wang, Tong; Lima, Ricardo M.; Giraldi, Loïc; Knio, Omar M.","Elsevier Science B.V., Amsterdam.",2019
40,Context‐dependent reconfiguration of autonomous vehicles in mixed traffic,"Horcas, José Miguel; Monteil, Julien; Bouroche, Mélanie; Pinto, Mónica; Fuentes, Lidia; Clarke, Siobhán",John Wiley & Sons Ltd,2018
41,Traffic Flow Management of Autonomous Vehicles Using Deep Reinforcement Learning and Smart Rerouting,"Mushtaq, Anum; Haq, Irfan Ul; Imtiaz, Muhammad Usman; Khan, Asifullah; Shafiq, Omair",IEEE,2021
42,Gain‐scheduled steering control for autonomous vehicles,"Kapsalis, Dimitrios; Sename, Olivier; Milanés, Vicente; Martinez, John J.",IET,2020
43,Route Planning Considerations for Autonomous Vehicles,"Taha, A. E.; AbuAli, N.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
44,Experimental tests of autonomous ground vehicles with preview,"Liu, C.; Chen, W. H.; Andrews, J.",SPRINGER SCIENCE + BUSINESS MEDIA,2010
45,Spline-Based Motion Planning for Autonomous Guided Vehicles in a Dynamic Environment,"Mercy, T.; Van Parys, R.; Pipeleers, G.",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,2018
46,New Buoyancy Engine for Autonomous Vehicles Observing Deeper Oceans,"Kobayashi, T.; Asakawa, K.; Watanabe, K.; Ino, T.; Amaike, K.-i.; Iwamiya, H.; Tachikawa, M.; Shikama, N.; Mizuno, K.",ISOPE,2010
47,Cooperative Control of Multiple Autonomous Underwater Vehicles,"He, B.; Jiang, D.P.",Durnten-Zurich; Trans Tech Publications Ltd,2013
48,"Public Health, Ethics, and Autonomous Vehicles","Fleetwood, Janet",American Public Health Association,2017
49,Near-Optimal Horizontal Trajectories for Autonomous Air Vehicles,"Shapira, I.",AMERICAN INST OF AERONAUTICS AND ASTRONAUTICS,1997
50,Risk-constrained design of autonomous hybrid refueling station for hydrogen and electric vehicles using information gap decision theory,"Sriyakul, Thanaporn; Jermsittiparsert, Kittisak","Elsevier Science B.V., Amsterdam.",2021
51,From Pikes Peak to autonomous vehicles,"Nelson, Rick",A VERNER NELSON ASSOCIATES,2018
52,The Impact of Autonomous Vehicles on Cities: A Review,"Duarte, Fábio; Ratti, Carlo",Taylor & Francis,2018
53,FLUOROMETERS: EXPERIENCES WITH AUTONOMOUS VEHICLES,"Younan,  Lawrence",COMPASS PUBLICATIONS INC,2018
54,Robust Navigation for Autonomous Fixed-wing Unmanned Aerial Vehicles,"Leishman,  Robert C.; Taylor,  Clark N.",Institute of Navigation,2017
55,Piezoelectric energy harvesting for autonomous sensors network on safety-improved railway vehicles,G De Pasquale; A Somà; F Fraccarollo,Sage Periodicals Inc,2012
56,Precision localization of autonomous vehicles relative to road map based on map matching,"Uozumi, T.; Suganuma, N.",Japan Society of Automotive Engineers,2010
57,OMAE2010-20419 A Fleet of Autonomous Underwater Vehicles to Locate Flight 447,"Blanco, M.",New York; ASME,2010
58,A System architecture for Autonomous Road Vehicles Capable of Dynamic Vision,"Dickmanns, E. D.",OLDENBOURG,1999
59,Fault Diagnosis on Autonomous Robotic Vehicles with Recovery: An Integrated Heterogeneous-knowledge Approach,"Hamilton, K.",IEEE; 1999,2001
60,Range imaging for autonomous navigation of robotic land vehicles,"Lux, P.W. ; Schaefer, C.H.",North-Holland Pub. Co,1991
61,Towards Collision Avoidance for Autonomous Intelligent Vehicles a Simulation Study,"Christie, P. D.;Barber, P. A.;Burnham, K. J.;Lockett, F. P.",Oficyna Wydawnicza Politechniki Wroclawskiej,1998
62,Pattern Analysis for Autonomous Vehicles with the Region- and Feature-based Neural Network: Global Self-Localization and Traffic Sign Recognition,"Janet, J. A.",INSTITUTE OF ELECTRICAL ENGINEERS INC (IEEE),1996
63,On Resistance Calculation for Autonomous Underwater Vehicles,"Song, F.X.; Zhang, L.H.; Wu, Z.L.; Wang, L.P.",Stafa-Zurich; Trans Tech,2011
64,Dynamic reconfiguration of autonomous underwater vehicles propulsion system using genetic optimization,"Chocron, Olivier; Vega, Emanuel P.; Benbouzid, Mohamed","Elsevier Science B.V., Amsterdam.",2018
65,The impact of private autonomous vehicles on vehicle ownership and unoccupied VMT generation,"Zhang, Wenwen; Guhathakurta, Subhrajit; Khalil, Elias B.","Elsevier Science B.V., Amsterdam.",2018
66,Output-Feedback Path-Following Control of Autonomous Underwater Vehicles Based on an Extended State Observer and Projection Neural Networks,"Peng, Z.; Wang, J.",IEEE,2018
67,Coordinated Control of Autonomous Vehicles in Three-Dimensional Rotating Formations (AAS 13-918),"Thakur, D.; Akella, M.R.",Published for the American Astronautical Society by Univelt; 1999,2014
68,Accurate Positioning of Autonomous Vehicles in Adverse Visibility Conditions,"Nielsen,  John; Dehghanian,  Vahid",Institute of Navigation,2014
69,Emergency Lane-Change Maneuvers of Autonomous Vehicles,"Shiller, Z.",AMERICAN SOCIETY MECHANICAL ENGINEERS,1998
70,Three-dimensional trajectory tracking control of underactuated autonomous underwater vehicles,"Chu, Zhenzhong; Zhang, Xuan; Zhu, Daqi",INDERSCIENCE ENTERPRISES LTD,2021
71,Straight-Line Motion Control for Autonomous Land Vehicles Using 2D Image Processing Techniques,"Lin, C.-F.",JOHN WILEY & SONS LTD,1998
72,UAVs vs. Natural Autonomous Vehicles (NAVs)-Are We Closing the Gap?,"Raquet, John F.",Institute of Navigation,2016
73,Quantifying Navigation Safety of Autonomous Passenger Vehicles (APVs),"Joerger, Mathieu; Spenko, Matthew",Institute of Navigation,2016
74,Collision-Free Navigation of Autonomous Vehicles Using Convex Quadratic Programming-Based Model Predictive Control,"Wang, Z.; Li, G.; Jiang, H.; Chen, Q.; Zhang, H.",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,2018
75,Ocean Exploration with Autonomous Underwater Vehicles,"Griffiths, G.",UNKNOWN,2010
76,Lateral control of autonomous vehicles based on learning driver behavior via cloud model,"Hongbo, Gao; Guotao, Xie; Hongzhe, Liu; Xinyu, Zhang; Deyi, Li",ELSEVIER SCIENCE B.V. AMSTERDAM,2017
77,China's 12-Year Quest of Autonomous Vehicular Intelligence: The Intelligent Vehicles Future Challenge Program,"Wang, Fei-Yue; Zheng, Nanning; Li, Li; Xin, Jingmin; Wang, Xiao; Xu, Linhai; Tian, Bin; Wu, Guozheng; Zhang, Zhaotian; Wang, Chenghong; Chen, Long",IEEE Institute of Electrical & Electronics,2021
78,Car-following model for autonomous vehicles and mixed traffic flow analysis based on discrete following interval,"An, Shuke; Xu, Liangjie; Qian, Lianghui; Chen, Guojun; Luo, Haoshun; Li, Fu","Elsevier Science B.V., Amsterdam.",2020
79,Power sources for autonomous underwater vehicles,"Hasvold, O.; Storkersen, N. J.; Forseth, S.; Lian, T.","Elsevier Science B.V., Amsterdam.",2006
80,Control Architectures for Autonomous Underwater Vehicles,"Valavanis, K. P.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,1997
81,Multi-Level Planning for Semi-autonomous Vehicles  in Traffic Scenarios Based on Separation Maximization,"Kala, R.; Warwick, K.",Springer Science + Business Media,2013
82,On-line trajectory generation for autonomous unmanned vehicles in the presence of no-fly zones,Ettore De Lellis; Gianfranco Morani; Federico Corraro; Vittorio Di Vito,Sage Periodicals Inc,2013
83,Network Centric Warfare with Autonomous Underwater Vehicles - Results from Experimentation with the HUGIN 1000 AUV,"Hagen, P. E.; Storkersen, N.","IEEE,",2005
84,Fuzzy Traffic Police for Autonomous Vehicles,"Garcia Rosa, R.; De Pedro, T.; Rosetti, A.",Springer,1997
85,Motion Optimization of Autonomous Underwater Vehicles by Genetic Algorithm,"Zhang, M.-J.",SOCIETY OF NAVAL ARCHITECTS OF JAPAN,1997
86,Path Planning for Autonomous Vehicles Driving Over Rough Terrain,"Lacaze, A.; Moscovitz, Y.; DeClaris, N.; Murphy, K.",IEEE,1998
87,Cooperative navigation for multiple autonomous underwater vehicles using a single leader,"Zhang, M.; Zheng, L.; Jiao, L.",INDERSCIENCE ENTERPRISES LTD,2013
88,Emergency maneuvers of autonomous vehicles,"Shiller, Z.; Sundar, S.",Pergamon,1996
89,Dynamics and navigation of autonomous underwater vehicles for submarine gravity surveying,"Kinsey, J.C.; Tivey, M.A.; Yoerger, D.R.",SEG SOCIETY OF EXPLORATION GEOPHYSICISTS,2013
90,An obstacle-avoidance technique for autonomous underwater vehicles based on BK-products of fuzzy relation,"Bui, L. D.; Kim, Y. G.","Elsevier Science B.V., Amsterdam.",2006
91,Distributed System Architecture of Autonomous Vehicles and Real-Time Path Planning based on the Curvilinear Coordinate System,"Chu, K.; Kim, J.; Sunwoo, M.",Society of Automotive Engineers,2012
92,DSCC2010-4263 Predictive Control of Autonomous Ground Vehicles With Obstacle Avoidance on Slippery Roads,"Gao, Y.; Tseng, E.; Lin, T.; Hrovat, D.; Borrelli, F.","New York, N.Y.; American Society of Mechanical Engineers",2010
93,Self-Reconfigurable Control System for Autonomous Vehicles,"Shoureshi, R.A.; Lim, S.; Aasted, C.M.","New York, NY; ASME",2013
94,Fuel economy testing of autonomous vehicles,"Mersky, Avi Chaim; Samaras, Constantine","Elsevier Science B.V., Amsterdam.",2016
95,RIM Propeller for Micro Autonomous Underwater Vehicles,"Kim, D.D.; Wu, Y.; Noel, A.; Youcef-Toumi, K.","New York, N.Y.; ASME",2014
96,Bio-inspired Time-to-contact Control for Autonomous Quadrotor Vehicles (AIAA 2016-0384),"Thomsen,  Benjamin; Zhang,  Mingfeng; Sharf,  Inna",AIAA,2016
97,A Framework for Autonomous Vehicles With Goal Inference and Task Allocation Capabilities to Support Peer Collaboration With Human Agents,"Liu, C.; Liu, S.-Y.; Carano, E.L.; Hedrick, J.K.","New York, N.Y.; ASME",2014
98,Radar Concepts for Autonomous Vehicles,"Nalezinski, M.; Poprawa, F.; Kunkel, S.",FACHVERLAG SCHIELE & SCHON GMBH,2006
99,Passivity-based formation control of autonomous underwater vehicles,"Wang, Y.; Yan, W.; Li, J.",IET,2012
100,Robust control of autonomous underwater vehicles and verification on a tethered flight vehicle,"Feng, Z.; Allen, R.",PETER PEREGRINUS LTD,2006
1,Autonomous Vehicles Avoiding One Other: A Case-Study of Obstacle Avoidance Procedures,"Panders, J. S. J. H.",Stichting Mathematisch Centrum,1991
2,Autonomous vehicles,"Becker, Edward P",Society of Tribologists and Lubrication Engineers,2015
3,Autonomous vehicles demonstrate ground-air cooperation,unknown,SAE INTERNATIONAL,2016
4,Autonomous Navigation of Ground Transport Vehicles on the Basis of 3D Standards,"Vasin, Y. G.; Lebedev, L. I.",NAUKA/INTERPERIODICA PUBLISHING,2003
5,Autonomous steering control for electric vehicles using nonlinear state feedback  Formula Not Shown  control,"Moriwaki, K.","Elsevier Science B.V., Amsterdam.",2005
6,Autonomous Landing of Underwater Vehicles Using High-Resolution Bathymetry,"Sangekar, Mehul Naresh; Thornton, Blair; Bodenmann, Adrian; Ura, Tamaki",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
7,Autonomous vehicles require batteries with lasting power,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
8,Autonomous Terrain Characterisation and Modelling for Dynamic Control of Unmanned Vehicles (V_489.mpg),"Talukder, A.;Manduchi, R.;Castano, R.;Matthies, L.;Castano, A.;Hogg, R.",IEEE,2002
9,Autonomous Flightworthiness Determination for Modular Vertical Lift Vehicles (AIAA 2017-1916),"Warner,  Jonathan; Rogers,  Jonathan D.",AIAA,2017
10,Autonomous Vehicles and their Impact on Parking Search,"Bischoff, Joschka; Maciejewski, Michal; Schlenther, Tilmann; Nagel, Kai",IEEE Institute of Electrical & Electronics,2019
11,Autonomous coordinated control of a platoon of vehicles with multiple disturbances,"Yonggui, L.; Huanli, G.; Bugong, X.; Guiyun, L.; Hui, C.",IET,2014
12,Autonomous Airborne Re-Supply Systems for Unmanned Air Vehicles,"Buffington, J.",AIAA,2002
13,Autonomous terrain parameter estimation for wheeled vehicles [6962-55],"Ray, L.E.","Bellingham, Wash.; SPIE",2008
14,Autonomous mobility of a fleet of vehicles for precision pesticide application,"Umar Zangina, Salinda Buyamin, Muhammad Naveed Aman, Mohamad Shukri Zainal Abidin, Mohd Saiful Azimi Mahmud",Elsevier,2021
